"동별(1)",동별(2),동별(3),2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025
"동별(1)",동별(2),동별(3),합계,합계,합계,합계,노상,노상,노상,노상,노외,노외,노외,노외,노외,노외,건축물부설,건축물부설,건축물부설,건축물부설,건축물부설,건축물부설
"동별(1)",동별(2),동별(3),공영,공영,민영,민영,시영,시영,구영,구영,시영,시영,구영,구영,민영,민영,일반주택,일반주택,공동주택,공동주택,일반건축물,일반건축물
"동별(1)",동별(2),동별(3),개소 (개소),면수 (면),개소 (개소),면수 (면),개소 (개소),면수 (면),개소 (개소),면수 (면),개소 (개소),면수 (면),개소 (개소),면수 (면),개소 (개소),면수 (면),개소 (개소),면수 (면),개소 (개소),면수 (면),개소 (개소),면수 (면)
"합계",용산구,효창동,31,326,280,2696,-,-,27,252,-,-,4,74,-,-,74,179,140,1230,66,1287
"합계",용산구,용문동,7,88,320,2722,-,-,5,43,-,-,2,45,1,25,106,265,174,1922,39,510
"합계",용산구,한강로동,66,1987,339,22443,-,-,57,547,1,559,8,881,1,7,26,61,56,9373,256,13002
"합계",용산구,이촌1동,9,117,65,10706,-,-,9,117,-,-,-,-,-,-,-,-,32,9828,33,878
"합계",용산구,이촌2동,14,245,46,2101,-,-,12,210,-,-,2,35,-,-,5,11,22,1855,19,235
"합계",용산구,이태원1동,21,199,415,3693,-,-,19,149,-,-,2,50,6,159,174,549,70,820,165,2165
"합계",용산구,이태원2동,16,275,646,4071,-,-,14,157,-,-,2,118,1,20,328,769,161,1696,156,1586
"합계",용산구,한남동,36,772,1109,15365,1,5,31,210,1,174,3,383,5,154,370,1362,291,8818,443,5031
"합계",용산구,서빙고동,25,460,227,5830,-,-,19,310,1,88,5,62,1,8,77,184,79,3302,70,2336
"합계",용산구,보광동,17,210,326,1628,-,-,13,139,-,-,4,71,4,46,192,459,73,808,57,315
"합계",성동구,소계,296,6924,5918,114961,1,31,260,3792,1,10,34,3091,25,618,2500,5001,863,64432,2530,44910
"합계",성동구,왕십리2동,10,134,216,3936,-,-,9,40,-,-,1,94,-,-,98,249,31,3090,87,597
"합계",성동구,왕십리도선동,21,387,316,8422,-,-,19,118,-,-,2,269,3,46,94,237,29,6220,190,1919
"합계",성동구,마장동,40,1129,603,7273,-,-,36,767,1,10,3,352,3,89,234,480,72,4103,294,2601
"합계",성동구,사근동,10,357,427,7472,-,-,6,63,-,-,4,294,1,10,219,481,71,1788,136,5193
"합계",성동구,행당1동,11,138,276,7290,-,-,10,90,-,-,1,48,1,150,87,190,64,4003,124,2947
